P1,P2,C
a stainless‑steel spoon is made of stainless steel,stainless steel is corrosion‑resistant,a stainless‑steel spoon is corrosion‑resistant
a glass window is made of glass,glass is transparent to light,a glass window is transparent to light
a wooden cutting board is made of wood,wood is biodegradable,a wooden cutting board is biodegradable
a cotton T‑shirt is made of cotton,cotton is breathable,a cotton T‑shirt is breathable
a rubber band is made of rubber,rubber is elastic,a rubber band is elastic
a bronze statue is made of bronze,bronze is corrosion‑resistant,a bronze statue is corrosion‑resistant
an aluminum ladder is made of aluminum,aluminum is lightweight,an aluminum ladder is lightweight
a wool sweater is made of wool,wool is insulating,a wool sweater is insulating
a silk scarf is made of silk,silk is smooth to touch,a silk scarf is smooth to touch
a paper napkin is made of paper,paper is absorbent,a paper napkin is absorbent
a plastic bottle is made of plastic,plastic is lightweight,a plastic bottle is lightweight
a copper wire is made of copper,copper is electrically conductive,a copper wire is electrically conductive
a granite countertop is made of granite,granite is hard and durable,a granite countertop is hard and durable
a leather jacket is made of leather,leather is flexible,a leather jacket is flexible
a ceramic mug is made of ceramic,ceramic is heat‑resistant,a ceramic mug is heat‑resistant
a limestone statue is made of limestone,limestone is porous,a limestone statue is porous
a bamboo straw is made of bamboo,bamboo is renewable,a bamboo straw is renewable
a titanium implant is made of titanium,titanium is biocompatible,a titanium implant is biocompatible
a carbon‑fiber frame is made of carbon fiber,carbon fiber is strong and light,a carbon‑fiber frame is strong and light
a gold ring is made of gold,gold does not tarnish,a gold ring does not tarnish
a silver necklace is made of silver,silver is lustrous,a silver necklace is lustrous
an iron skillet is made of cast iron,cast iron retains heat well,an iron skillet retains heat well
a polyester jacket is made of polyester,polyester dries quickly,a polyester jacket dries quickly
a neoprene wetsuit is made of neoprene,neoprene is water‑resistant,a neoprene wetsuit is water‑resistant
a cork coaster is made of cork,cork floats on water,a cork coaster floats on water
a marble floor is made of marble,marble has a glossy finish,a marble floor has a glossy finish
a straw hat is made of straw,straw is lightweight,a straw hat is lightweight
a fiberglass boat is made of fiberglass,fiberglass is buoyant,a fiberglass boat is buoyant
a quartz watch face is made of quartz,quartz is scratch‑resistant,a quartz watch face is scratch‑resistant
a hemp rope is made of hemp,hemp has high tensile strength,a hemp rope has high tensile strength
a basalt tile is made of basalt,basalt is hard,a basalt tile is hard
a nickel coin is made of nickel,nickel is magnetic,a nickel coin is magnetic
a pine bookshelf is made of pine wood,pine wood has a pleasant aroma,a pine bookshelf has a pleasant aroma
a brass trumpet is made of brass,brass is acoustically resonant,a brass trumpet is acoustically resonant
a parchment scroll is made of parchment,parchment is flexible,a parchment scroll is flexible
a cardboard box is made of cardboard,cardboard is recyclable,a cardboard box is recyclable
a silicon chip is made of silicon,silicon is semiconductive,a silicon chip is semiconductive
a rayon blouse is made of rayon,rayon has a silky feel,a rayon blouse has a silky feel
a styrofoam cup is made of styrofoam,styrofoam is an insulator,a styrofoam cup is an insulator
a gypsum board is made of gypsum,gypsum is fire‑resistant,a gypsum board is fire‑resistant
a concrete wall is made of concrete,concrete is strong in compression,a concrete wall is strong in compression
a linen tablecloth is made of linen,linen wicks moisture,a linen tablecloth wicks moisture
a slate roof is made of slate,slate is weather‑resistant,a slate roof is weather‑resistant
a tin can is made of tin,tin is malleable,a tin can is malleable
a sandstone sculpture is made of sandstone,sandstone is easy to carve,a sandstone sculpture is easy to carve
a acrylic sheet is made of acrylic,acrylic is shatter‑resistant,a acrylic sheet is shatter‑resistant
a teflon pan is made of teflon,teflon is non‑stick,a teflon pan is non‑stick
a basalt mortar is made of basalt,basalt is heavy,a basalt mortar is heavy
a chrome faucet is made of chrome,chrome is shiny,a chrome faucet is shiny
a porcelain sink is made of porcelain,porcelain is stain‑resistant,a porcelain sink is stain‑resistant
a denim jacket is made of denim,denim is durable,a denim jacket is durable
a cedar chest is made of cedar wood,cedar wood repels insects,a cedar chest repels insects
a latex glove is made of latex,latex is stretchy,a latex glove is stretchy
a flannel shirt is made of flannel,flannel is soft,a flannel shirt is soft
a burlap sack is made of burlap,burlap is coarse,a burlap sack is coarse
a graphite pencil lead is made of graphite,graphite conducts electricity slightly,a graphite pencil lead conducts electricity slightly
a basalt rock is made of basalt,basalt is dense,a basalt rock is dense
a polyester rope is made of polyester,polyester resists UV degradation,a polyester rope resists UV degradation
a nylon fishing line is made of nylon,nylon is strong,a nylon fishing line is strong
a crystal vase is made of crystal,crystal refracts light,a crystal vase refracts light
a foam mattress is made of memory foam,memory foam conforms to body shape,a foam mattress conforms to body shape
a zircon ring is made of zircon,zircon is brilliant,a zircon ring is brilliant
a jade pendant is made of jade,jade is tough,a jade pendant is tough
a pewter figurine is made of pewter,pewter is easy to cast,a pewter figurine is easy to cast
a PVC pipe is made of PVC,PVC is chemically resistant,a PVC pipe is chemically resistant
a suede boot is made of suede,suede is soft to touch,a suede boot is soft to touch
a basalt pestle is made of basalt,basalt is abrasion‑resistant,a basalt pestle is abrasion‑resistant
a stainless‑steel pot is made of stainless steel,stainless steel is heat‑resistant,a stainless‑steel pot is heat‑resistant
a abalone shell button is made of abalone shell,abalone shell has iridescence,a abalone shell button has iridescence
a kefir glass bottle is made of glass,glass is recyclable,a kefir glass bottle is recyclable
a sandstone tile is made of sandstone,sandstone is slip‑resistant,a sandstone tile is slip‑resistant
a coconut shell bowl is made of coconut shell,coconut shell is biodegradable,a coconut shell bowl is biodegradable
a hemp fabric bag is made of hemp fabric,hemp fabric is sturdy,a hemp fabric bag is sturdy
a quartz countertop is made of quartz,quartz is non‑porous,a quartz countertop is non‑porous
a lava stone grill is made of lava stone,lava stone retains heat,a lava stone grill retains heat
a mica sheet is made of mica,mica is heat‑insulating,a mica sheet is heat‑insulating
a zirconia crown is made of zirconia,zirconia is hard and white,a zirconia crown is hard and white
a basalt fiber rod is made of basalt fiber,basalt fiber is corrosion‑resistant,a basalt fiber rod is corrosion‑resistant
a galvanized nail is made of galvanized steel,galvanized steel resists rust,a galvanized nail resists rust
a borosilicate beaker is made of borosilicate glass,borosilicate glass resists thermal shock,a borosilicate beaker resists thermal shock
a kevlar vest is made of kevlar,kevlar is bullet‑resistant,a kevlar vest is bullet‑resistant
