Premise1_Subject,Premise1_Verb,Premise1_Object,Premise2_Subject,Premise2_Verb,Premise2_Object,Example_Clause,Example_Subject,Example_Verb,Conclusion_Subject,Conclusion_Verb,Conclusion_Object
shelters,can be used to,live in,raccoons,live in,hollow logs,an example of,shelters,is,raccoons,live in,hollow logs
vehicles,are used to,get transported in,miners,get transported in,wagons,an example of,vehicles,is,miners,get transported in,wagons
bridges,are designed to,cross rivers on,trekkers,cross rivers on,suspension bridges,an example of,bridges,is,trekkers,cross rivers on,suspension bridges
roads,are suitable to,drive on,motorists,drive on,highways,an example of,roads,is,motorists,drive on,highways
trains,are commonly used to,travel on,passengers,travel on,bullet trains,an example of,trains,is,passengers,travel on,bullet trains
runways,often help to,take off from,airplanes,take off from,asphalt runways,an example of,runways,is,airplanes,take off from,asphalt runways
piers,enable people to,dock at,ferries,dock at,floating piers,an example of,piers,is,ferries,dock at,floating piers
containers,are meant to,store grain in,farmers,store grain in,silos,an example of,containers,is,farmers,store grain in,silos
bottles,allow people to,store reagents in,chemists,store reagents in,glass bottles,an example of,bottles,is,chemists,store reagents in,glass bottles
jars,are employed to,preserve jam in,pastry chefs,preserve jam in,mason jars,an example of,jars,is,pastry chefs,preserve jam in,mason jars
tanks,serve to,collect rainwater in,villagers,collect rainwater in,water tanks,an example of,tanks,is,villagers,collect rainwater in,water tanks
backpacks,can help to,carry books in,students,carry books in,hiking backpacks,an example of,backpacks,is,students,carry books in,hiking backpacks
wallets,can be used to,keep cash in,shoppers,keep cash in,leather wallets,an example of,wallets,is,shoppers,keep cash in,leather wallets
safes,are used to,secure valuables in,collectors,secure valuables in,fireproof safes,an example of,safes,is,collectors,secure valuables in,fireproof safes
envelopes,are designed to,mail fragile items in,shippers,mail fragile items in,padded envelopes,an example of,envelopes,is,shippers,mail fragile items in,padded envelopes
crates,are suitable to,ship produce in,growers,ship produce in,wooden crates,an example of,crates,is,growers,ship produce in,wooden crates
suitcases,are commonly used to,pack clothes in,travelers,pack clothes in,rolling suitcases,an example of,suitcases,is,travelers,pack clothes in,rolling suitcases
briefcases,often help to,carry files in,lawyers,carry files in,aluminium briefcases,an example of,briefcases,is,lawyers,carry files in,aluminium briefcases
coolers,enable people to,keep food cold in,campers,keep food cold in,insulated coolers,an example of,coolers,is,campers,keep food cold in,insulated coolers
thermoses,are meant to,keep drinks hot in,hikers,keep drinks hot in,vacuum flasks,an example of,thermoses,is,hikers,keep drinks hot in,vacuum flasks
lockers,allow people to,store gear in,athletes,store gear in,gym lockers,an example of,lockers,is,athletes,store gear in,gym lockers
archives,are employed to,store manuscripts in,curators,store manuscripts in,climate-controlled archives,an example of,archives,is,curators,store manuscripts in,climate-controlled archives
tools,serve to,drive nails with,carpenters,drive nails with,hammers,an example of,tools,is,carpenters,drive nails with,hammers
utensils,can help to,flip pancakes with,short-order cooks,flip pancakes with,spatulas,an example of,utensils,is,short-order cooks,flip pancakes with,spatulas
knives,can be used to,slice vegetables with,chefs,slice vegetables with,chef's knives,an example of,knives,is,chefs,slice vegetables with,chef's knives
forks,are used to,turn meat with,grillers,turn meat with,barbecue forks,an example of,forks,is,grillers,turn meat with,barbecue forks
spoons,are designed to,measure spices with,bakers,measure spices with,measuring spoons,an example of,spoons,is,bakers,measure spices with,measuring spoons
tongs,are suitable to,pick up salad with,servers,pick up salad with,kitchen tongs,an example of,tongs,is,servers,pick up salad with,kitchen tongs
scissors,are commonly used to,cut cloth with,tailors,cut cloth with,fabric scissors,an example of,scissors,is,tailors,cut cloth with,fabric scissors
brushes,often help to,apply paint with,artists,apply paint with,paintbrushes,an example of,brushes,is,artists,apply paint with,paintbrushes
pencils,enable people to,sketch diagrams with,students of engineering,sketch diagrams with,graphite pencils,an example of,pencils,is,students of engineering,sketch diagrams with,graphite pencils
pens,are meant to,write letters with,calligraphers,write letters with,fountain pens,an example of,pens,is,calligraphers,write letters with,fountain pens
cameras,allow people to,capture images with,photographers,capture images with,DSLR cameras,an example of,cameras,is,photographers,capture images with,DSLR cameras
microphones,are employed to,record audio with,podcasters,record audio with,condenser microphones,an example of,microphones,is,podcasters,record audio with,condenser microphones
binoculars,serve to,observe birds with,birders,observe birds with,field binoculars,an example of,binoculars,is,birders,observe birds with,field binoculars
telescopes,can help to,view galaxies with,astronomers,view galaxies with,reflecting telescopes,an example of,telescopes,is,astronomers,view galaxies with,reflecting telescopes
compasses,can be used to,find directions with,orienteers,find directions with,magnetic compasses,an example of,compasses,is,orienteers,find directions with,magnetic compasses
