Premise1\_Subject,Premise1\_Verb,Premise1\_Object,Premise2\_Subject,Premise2\_Verb,Premise2\_Object,Conclusion\_Subject,Conclusion\_Verb,Conclusion\_Object
sparrow,belongs to,birds,birds,are,vertebrates,sparrow,is,vertebrates
salmon,belongs to,fish,fish,are a subset of,aquatic vertebrates,salmon,is,aquatic vertebrates
oak,belongs to,trees,trees,are,vascular plants,oak,is,vascular plants
tulip,belongs to,flowering plants,flowering plants,are,angiosperms,tulip,is,angiosperms
python,is a type of,programming languages,programming languages,are,computing technologies,python,is,computing technologies
tokyo,belongs to,cities,cities,are,urban settlements,tokyo,is,urban settlements
eiffel tower,belongs to,monuments,monuments,are,architectural structures,eiffel tower,is,architectural structures
copper,is a type of,metals,metals,are,chemical elements,copper,is,chemical elements
glucose,belongs to,monosaccharides,monosaccharides,are,carbohydrates,glucose,is,carbohydrates
quartz,belongs to,minerals,minerals,are,natural solids,quartz,is,natural solids
helium,belongs to,noble gases,noble gases,are,inert elements,helium,is,inert elements
tiger,belongs to,big cats,big cats,are,mammals,tiger,is,mammals
penguin,belongs to,flightless birds,flightless birds,are,avian species,penguin,is,avian species
koala,belongs to,marsupials,marsupials,are,metatherians,koala,is,metatherians
anaconda,belongs to,constrictor snakes,constrictor snakes,are,reptiles,anaconda,is,reptiles
honeybee,belongs to,insects,insects,are,arthropods,honeybee,is,arthropods
octopus,belongs to,cephalopods,cephalopods,are,mollusks,octopus,is,mollusks
dolphin,belongs to,cetaceans,cetaceans,are,marine mammals,dolphin,is,marine mammals
coral,belongs to,cnidarians,cnidarians,are,invertebrates,coral,is,invertebrates
yeast,belongs to,fungi,fungi,are,eukaryotes,yeast,is,eukaryotes
escherichia coli,belongs to,bacteria,bacteria,are,prokaryotes,escherichia coli,is,prokaryotes
redwood,belongs to,conifers,conifers,are,gymnosperms,redwood,is,gymnosperms
moss,belongs to,bryophytes,bryophytes,are,nonvascular plants,moss,is,nonvascular plants
sunflower,belongs to,oilseed crops,oilseed crops,are,agricultural plants,sunflower,is,agricultural plants
wheat,belongs to,cereal grains,cereal grains,are,staple foods,wheat,is,staple foods
basmati,belongs to,rice varieties,rice varieties,are,cultivars,basmati,is,cultivars
cheddar,belongs to,cheeses,cheeses,are,dairy products,cheddar,is,dairy products
yogurt,belongs to,fermented foods,fermented foods,are,processed foods,yogurt,is,processed foods
baguette,belongs to,breads,breads,are,baked goods,baguette,is,baked goods
espresso,belongs to,coffee drinks,coffee drinks,are,beverages,espresso,is,beverages
currywurst,belongs to,sausages,sausages,are,meat products,currywurst,is,meat products
tofu,belongs to,soy foods,soy foods,are,plant-based proteins,tofu,is,plant-based proteins
sushi,belongs to,seafood dishes,seafood dishes,are,prepared foods,sushi,is,prepared foods
avocado,belongs to,botanical berries,botanical berries,are,fruits,avocado,is,fruits
tomato,belongs to,culinary vegetables,culinary vegetables,are,edible plants,tomato,is,edible plants
almond,belongs to,tree nuts,tree nuts,are,edible seeds,almond,is,edible seeds
chia,belongs to,pseudocereals,pseudocereals,are,grain crops,chia,is,grain crops
maple syrup,belongs to,sweeteners,sweeteners,are,food additives,maple syrup,is,food additives
sahara,belongs to,deserts,deserts,are,arid regions,sahara,is,arid regions
amazon river,belongs to,rivers,rivers,are,watercourses,amazon river,is,watercourses
alps,belongs to,mountain ranges,mountain ranges,are,landforms,alps,is,landforms
sydney,belongs to,state capitals of australia,state capitals of australia,are,administrative centres,sydney,is,administrative centres
luxembourg city,belongs to,capital cities,capital cities,are,national seats of government,luxembourg city,is,national seats of government
milan,belongs to,italian cities,italian cities,are,municipalities,milan,is,municipalities
brussels,belongs to,european capitals,european capitals,are,political centers,brussels,is,political centers
andes,belongs to,cordilleras,cordilleras,are,orogenic belts,andes,is,orogenic belts
gobi,belongs to,deserts of asia,deserts of asia,are,drylands,gobi,is,drylands
pacific ocean,belongs to,oceans,oceans,are,earth's water bodies,pacific ocean,is,earth's water bodies
everest,belongs to,mountains,mountains,are,high elevations,everest,is,high elevations
saint bernard,belongs to,dog breeds,dog breeds,are,domesticated animals,saint bernard,is,domesticated animals
siamese,belongs to,cat breeds,cat breeds,are,domestic cats,siamese,is,domestic cats
pearl,belongs to,gemstones,gemstones,are,ornamental materials,pearl,is,ornamental materials
diamond,belongs to,gem-quality minerals,gem-quality minerals,are,valuable materials,diamond,is,valuable materials
sandstone,belongs to,sedimentary rocks,sedimentary rocks,are,geological materials,sandstone,is,geological materials
basalt,belongs to,igneous rocks,igneous rocks,are,magmatic materials,basalt,is,magmatic materials
granite,belongs to,plutonic rocks,plutonic rocks,are,intrusive igneous rocks,granite,is,intrusive igneous rocks
