If_Clause,Property1,Then_Clause,Then_Verb,Property2,Premise_Subject,Premise_Verb,Premise_Object,Conclusion_Subject,Conclusion_Verb,Conclusion_Object
if something is,a mammal,then that something,must be,warm-blooded,whales,are classified as,a mammal,whales,are necessarily,warm-blooded
if something is,a bird,then that something,has to be,feathered,sparrows,are considered,a bird,sparrows,are required to be,feathered
if something is,a reptile,then that something,is typically,cold-blooded,crocodiles,are regarded as,a reptile,crocodiles,are usually,cold-blooded
if something is,an amphibian,then that something,undergoes,metamorphosis,frogs,are defined as,an amphibian,frogs,go through,metamorphosis
if something is,a fish,then that something,breathes with,gills,trout,are recognized as,a fish,trout,use,gills
if something is,an insect,then that something,has,six legs,ants,are identified as,an insect,ants,possess,six legs
if something is,an arachnid,then that something,bears,eight legs,spiders,are labeled as,an arachnid,spiders,carry,eight legs
if something is,a flowering plant,then that something,produces,flowers,roses,are termed,a flowering plant,roses,bear,flowers
if something is,a conifer,then that something,creates,cones,pines,belong to,a conifer,pines,makes,cones
if something is,a herbivore,then that something,eats,plants,cows,fall under,a herbivore,cows,consumes,plants
if something is,a carnivore,then that something,feeds on,meat,lions,fit,a carnivore,lions,dines on,meat
if something is,an omnivore,then that something,ingests,plants and animals,bears,meet,an omnivore,bears,eats both,plants and animals
if something is,a predator,then that something,hunts,prey,wolves,satisfy,a predator,wolves,pursues,prey
if something is,a parasite,then that something,depends on,a host,tapeworms,count as,a parasite,tapeworms,relies on,a host
if something is,a pollinator,then that something,transfers,pollen,bees,qualify as,a pollinator,bees,carries,pollen
if something is,photosynthetic,then that something,uses,sunlight,algae,function as,photosynthetic,algae,harnesses,sunlight
if something is,endothermic,then that something,maintains,body heat,penguins,serve as,endothermic,penguins,generates,body heat
if something is,ectothermic,then that something,derives,external heat,lizards,act as,ectothermic,lizards,gets,external heat
if something is,domesticated,then that something,is bred by,humans,dogs,remain,domesticated,dogs,are raised by,humans
if something is,endangered,then that something,is at,risk of extinction,orangutans,stay,endangered,orangutans,faces,risk of extinction
if something is,invasive,then that something,is non-native to,an ecosystem,zebra mussels,appear,invasive,zebra mussels,originates outside,an ecosystem
if something is,a conductor,then that something,conducts,electricity,copper,seem,a conductor,copper,transmits,electricity
if something is,an insulator,then that something,resists,electric current,rubber,look,an insulator,rubber,impedes,electric current
