Premise1_Subject,Premise1_Verb,Premise1_Object,Premise2_Subject,Premise2_Verb,Premise2_Object
Earth,orbits,the Sun,Earth,is a kind of,planet
honeybee,pollinates,flowers,honeybee,is a kind of,insect
heart,pumps,blood,heart,is a kind of,organ
chlorophyll,absorbs,light,chlorophyll,is a kind of,pigment
lens,focuses,light,lens,is a kind of,optical device
volcano,ejects,ash,volcano,is a kind of,geological feature
yeast,ferments,sugars,yeast,is a kind of,fungus
antibiotic,kills,bacteria,antibiotic,is a kind of,medicine
dam,impounds,water,dam,is a kind of,infrastructure
caffeine,stimulates,alertness,caffeine,is a kind of,stimulant
enzyme,catalyzes,reactions,enzyme,is a kind of,protein
copper,conducts,electricity,copper,is a kind of,metal
wind turbine,generates,electricity,wind turbine,is a kind of,machine
kidney,filters,blood,kidney,is a kind of,organ
lung,exchanges,gases,lung,is a kind of,organ
magnet,attracts,iron,magnet,is a kind of,object
vaccine,prevents,disease,vaccine,is a kind of,medical intervention
fire,emits,heat,fire,is a kind of,chemical reaction
salt,preserves,food,salt,is a kind of,mineral
bacterium,decomposes,organic matter,bacterium,is a kind of,microorganism
umbrella,shields,people from rain,umbrella,is a kind of,tool
satellite,transmits,signals,satellite,is a kind of,spacecraft
court,interprets,laws,court,is a kind of,institution
bridge,connects,river banks,bridge,is a kind of,structure
government,levies,taxes,government,is a kind of,institution
artist,paints,portraits,artist,is a kind of,profession
teacher,explains,concepts,teacher,is a kind of,profession
spider,spins,webs,spider,is a kind of,arachnid
snake,swallows,prey,snake,is a kind of,reptile
owl,hunts,rodents,owl,is a kind of,bird
pine,produces,cones,pine,is a kind of,tree
cow,digests,cellulose,cow,is a kind of,mammal
earthquake,releases,energy,earthquake,is a kind of,natural event
glacier,carves,valleys,glacier,is a kind of,body of ice
river,carries,sediment,river,is a kind of,water body
judge,issues,rulings,judge,is a kind of,legal professional
compass,indicates,direction,compass,is a kind of,instrument
thermostat,regulates,temperature,thermostat,is a kind of,device
compiler,translates,code,compiler,is a kind of,software program
router,forwards,packets,router,is a kind of,network device
firewall,blocks,traffic,firewall,is a kind of,security system
camera,captures,images,camera,is a kind of,device
microphone,records,sound,microphone,is a kind of,device
printer,prints,documents,printer,is a kind of,device
weather satellite,monitors,storms,weather satellite,is a kind of,satellite
telescope,observes,galaxies,telescope,is a kind of,instrument
microscope,magnifies,cells,microscope,is a kind of,instrument
X-rays,penetrate,tissue,X-rays,are a kind of,electromagnetic radiation
insulin,lowers,blood glucose,insulin,is a kind of,hormone
hemoglobin,binds,oxygen,hemoglobin,is a kind of,protein
platelets,clot,blood,platelets,are a kind of,blood component
wind,erodes,rock,wind,is a kind of,atmospheric phenomenon
sunlight,warms,Earth,sunlight,is a kind of,electromagnetic radiation
shade,cools,houses,shade,is a kind of,cover
friction,generates,heat,friction,is a kind of,force
kite,harnesses,wind,kite,is a kind of,toy
ship,transports,cargo,ship,is a kind of,vessel
train,conveys,passengers,train,is a kind of,vehicle
bus,serves,routes,bus,is a kind of,vehicle
bicycle,uses,chains,bicycle,is a kind of,vehicle
car,burns,fuel,car,is a kind of,vehicle
rocket,launches,payloads,rocket,is a kind of,vehicle
drone,surveys,land,drone,is a kind of,aircraft
crane,lifts,loads,crane,is a kind of,machine
elevator,raises,people,elevator,is a kind of,device
hammer,drives,nails,hammer,is a kind of,tool
saw,cuts,wood,saw,is a kind of,tool
knife,slices,vegetables,knife,is a kind of,tool
spoon,scoops,soup,spoon,is a kind of,utensil
fork,spears,food,fork,is a kind of,utensil
pen,writes,letters,pen,is a kind of,writing instrument
keyboard,inputs,characters,keyboard,is a kind of,peripheral
monitor,displays,images,monitor,is a kind of,peripheral
speaker,outputs,sound,speaker,is a kind of,peripheral
lamp,illuminates,rooms,lamp,is a kind of,fixture
mirror,reflects,light,mirror,is a kind of,optical element
prism,refracts,light,prism,is a kind of,optical element
brake,slows,vehicles,brake,is a kind of,mechanical system
tire,grips,roads,tire,is a kind of,component
sunscreen,screens,UV radiation,sunscreen,is a kind of,skin product
lock,secures,doors,lock,is a kind of,device
password,protects,accounts,password,is a kind of,credential
antivirus,scans,files,antivirus,is a kind of,software
tree,sequesters,carbon,tree,is a kind of,plant
root,anchors,plants,root,is a kind of,plant organ
historian,studies,history,historian,is a kind of,profession
economist,models,markets,economist,is a kind of,profession
statistician,analyzes,data,statistician,is a kind of,profession
chef,cooks,meals,chef,is a kind of,profession
baker,bakes,bread,baker,is a kind of,profession
surgeon,performs,operations,surgeon,is a kind of,profession
nurse,administers,vaccines,nurse,is a kind of,profession
archaeologist,excavates,sites,archaeologist,is a kind of,profession
firefighter,extinguishes,fires,firefighter,is a kind of,profession
lifeguard,rescues,swimmers,lifeguard,is a kind of,profession
farmer,harvests,crops,farmer,is a kind of,profession
miner,extracts,minerals,miner,is a kind of,profession
fisher,catches,fish,fisher,is a kind of,profession
translator,renders,texts,translator,is a kind of,profession
courier,delivers,parcels,courier,is a kind of,profession
