Premise1_Subject,Premise1_Verb,Premise1_Object,Premise2_Subject,Premise2_Verb,Premise2_Object,Conclusion_Subject,Conclusion_Verb,Conclusion_Object
copper alloys,are,metals,metals,conduct,electricity,electricity,can be conducted by,copper alloys
sodium,is,alkali metal,alkali metal,reacts with,water,water,can react with,sodium
helium,is,noble gas,noble gas,emit,light,light,can be emitted by,helium
granite,is,igneous rock,igneous rock,contain,minerals,minerals,can be contained by,granite
salmon,is,fish,fish,extract,oxygen,oxygen,can be extracted by,salmon
oak,is,beech trees,beech trees,produce,acorns,acorns,can be produced by,oak
pythons,are,snakes,snakes,subdue,prey,prey,can be subdued by,pythons
yeast,are,fungi,fungi,ferment,sugars,sugars,can be fermented by,yeast
bacteria,are,microorganisms,microorganisms,decompose,organic matter,organic matter,can be decomposed by,bacteria
bees,are,pollinators,pollinators,pollinate,flowers,flowers,can be pollinated by,bees
roses,are,plants,plants,perform,photosynthesis,photosynthesis,can be performed by,roses
sharks,are,cartilaginous fish,cartilaginous fish,detect,electric fields,electric fields,can be detected by,sharks
owls,are,birds,birds,hunt,rodents,rodents,can be hunted by,owls
wolves,are,mammals,mammals,nurse,young,young,can be nursed by,wolves
spiders,are,arachnids,arachnids,spin,silk,silk,can be spun by,spiders
maple,is,hardwoods,hardwoods,provide,lumber,lumber,can be provided by,maple
pumice,is,volcanic rocks,volcanic rocks,contain,vesicles,vesicles,can be contained by,pumice
limestone,is,sedimentary rocks,sedimentary rocks,preserve,fossils,fossils,can be preserved by,limestone
quartz,is,minerals,minerals,form,crystals,crystals,can be formed by,quartz
silicon,is,semiconductors,semiconductors,control,current,current,can be controlled by,silicon
fluoride,is,halides,halides,form,salts,salts,can be formed by,fluoride
chlorine,is,halogens,halogens,disinfect,water,water,can be disinfected by,chlorine
ammonia,is,bases,bases,neutralize,acids,acids,can be neutralized by,ammonia
vinegar,is,acids,acids,react with,metals,metals,can be reacted with by,vinegar
platinum,is,catalysts,catalysts,accelerate,reactions,reactions,can be accelerated by,platinum
penicillin,is,antibiotics,antibiotics,treat,infections,infections,can be treated by,penicillin
ibuprofen,is,analgesics,analgesics,relieve,pain,pain,can be relieved by,ibuprofen
insulin,is,hormones,hormones,regulate,glucose,glucose,can be regulated by,insulin
vaccines,are,immunizations,immunizations,prevent,diseases,diseases,can be prevented by,vaccines
aspirin,is,antiinflammatories,antiinflammatories,reduce,inflammation,inflammation,can be reduced by,aspirin
lettuce,is,vegetables,vegetables,provide,fiber,fiber,can be provided by,lettuce
oranges,are,fruits,fruits,supply,vitamin C,vitamin C,can be supplied by,oranges
rice,is,grains,grains,store,starch,starch,can be stored by,rice
