Premise1_Subject,Premise1_Verb,Premise1_Object,Premise2_Subject,Premise2_Verb,Premise2_Object
photosynthesis,stores,energy,respiration,releases,energy
yard,serves as,a unit used for measuring length,metre,functions as,a unit used for measuring length
chlorophyll,absorbs,light,photoreceptors,detect,light
insulin,regulates,blood glucose,glucagon,elevates,blood glucose
arteries,carry,oxygenated blood,veins,return,oxygenated blood
antibiotics,eliminate,bacteria,vaccines,prevent,bacterial infections
roots,absorb,water,xylem,transports,water
stomata,release,water vapor,condensation nuclei,form,water vapor
DNA,encodes,genetic information,RNA,conveys,genetic information
enzymes,catalyze,chemical reactions,inhibitors,slow,chemical reactions
hemoglobin,binds,oxygen,myoglobin,sequesters,oxygen
telescopes,magnify,distant objects,microscopes,enlarge,distant objects
greenhouse gases,trap,heat,aerosols,scatter,heat
wind turbines,generate,electricity,solar panels,produce,electricity
batteries,store,charge,capacitors,accumulate,charge
Kepler's laws,describe,planetary motion,Newton's law of gravitation,governs,planetary motion
antibodies,neutralize,pathogens,phagocytes,ingest,pathogens
teeth,chew,food,stomachs,digest,food
eyelids,protect,eyes,tears,lubricate,eyes
melanin,pigments,skin,carotene,tints,skin
amylase,breaks down,starch,lipase,degrades,starch
firewalls,filter,network traffic,routers,forward,network traffic
browsers,render,web pages,servers,deliver,web pages
GPS,determines,position,compasses,indicate,position
chlorine,disinfects,water,filters,purify,water
brakes,decelerate,vehicles,accelerators,propel,vehicles
helmets,shield,heads,seatbelts,restrain,heads
predators,control,prey populations,parasites,reduce,prey populations
refrigerators,cool,food,ovens,heat,food
vaccination,induces,immunity,infection,triggers,immunity
osmosis,moves,water,diffusion,spreads,water
open-source licenses,permit,use,proprietary licenses,restrict,use
hurricanes,form over,warm oceans,tropical storms,develop over,warm oceans
fungi,decompose,organic matter,detritivores,process,organic matter
limbs,enable,locomotion,fins,aid,locomotion
satellites,orbit,Earth,space stations,circle,Earth
magnets,attract,iron,electromagnets,pull,iron
antioxidants,quench,free radicals,oxidants,create,free radicals
antacids,relieve,heartburn,proton-pump inhibitors,alleviate,heartburn
keys,unlock,doors,locks,secure,doors
filters,remove,impurities,strainers,separate,impurities
catalysts,accelerate,reactions,inhibitors,impede,reactions
ligaments,connect,bones,tendons,link,bones
rivers,transport,sediment,glaciers,convey,sediment
governments,levy,taxes,citizens,pay,taxes
courts,interpret,laws,legislatures,enact,laws
speakers,emit,sound,microphones,capture,sound
cameras,record,images,printers,output,images
bees,gather,nectar,butterflies,sip,nectar
airplanes,move through,air,birds,glide through,air
plankton,support,marine food webs,coral reefs,sustain,marine food webs
maps,show,locations,atlases,display,locations
sunscreen,blocks,ultraviolet radiation,ozone,attenuates,ultraviolet radiation
forests,sequester,carbon,oceans,uptake,carbon
thermometers,measure,temperature,barometers,gauge,temperature
antioxidants,quench,free radicals,oxidants,create,free radicals
oranges,provide,vitamin C,kiwifruit,supply,vitamin C
eggs,contain,protein,beans,offer,protein
seat cushions,improve,comfort,lumbar supports,enhance,comfort
clouds,reflect,sunlight,snow,bounces,sunlight
fiber,aids,digestion,probiotics,promote,digestion
glaciers,retain,freshwater,aquifers,hold,freshwater
fire extinguishers,suppress,flames,sprinklers,douse,flames
flowers,yield,nectar,nectaries,secrete,nectar
livers,metabolize,waste products,kidneys,excrete,waste products
adrenal glands,synthesize,hormones,pituitary glands,modulate,hormones
bones,scaffold,the body,muscles,move,the body
herbs,flavor,food,salt,seasons,food
algorithms,sort,data,hash functions,map,data
glucose,fuels,cells,oxygen,nourishes,cells
bacteriophages,infect,bacteria,antibiotics,target,bacteria
mosquitoes,spread,malaria,bed nets,limit,malaria
sodium,conducts,electricity,rubber,resists,electricity
diplomacy,resolves,conflicts,arbitration,adjudicates,conflicts
eyes,perceive,color,image sensors,register,color
vitamin A,supports,vision,rods,allow,vision
thiamine,assists,metabolism,enzymes,drive,metabolism
chloroplasts,perform,photosynthesis,plants,conduct,photosynthesis
browsers,cache,resources,CDNs,distribute,resources
RAM,buffers,data temporarily,SSDs,keep,data temporarily
vaccines,elicit,immune responses,adjuvants,amplify,immune responses
earthquakes,release,energy,faults,accumulate,energy
glial cells,insulate,neurons,myelin sheaths,speed,neuronal conduction
car engines,burn,fuel,electric motors,consume,fuel
sodium,raises,blood pressure,potassium,lowers,blood pressure
antipyretics,lower,fever,infections,cause,fever
photosystems,collect,light,antennae complexes,channel,light
antivenom,counteracts,venom,snakes,inject,venom
browsers,execute,JavaScript,engines,run,JavaScript
compilers,translate,code,linkers,combine,code
HTTPS,encrypts,data,TLS,authenticates,data
airbags,cushion,impacts,crumple zones,dissipate,impacts
economists,model,markets,statisticians,analyze,markets
books,tell,stories,films,depict,stories
rivers,erode,rocks,glaciers,carve,rocks
recycling,conserves,resources,reuse,saves,resources
governments,administer,visas,embassies,grant,visas
